epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4416.12,0.95976,0.89488,1.40429,0.77019,0.65881,0.72686,0.50112,0.95246,0.75385,1.3897,0.002575,0.002575,0.002575
77,4679.4,0.95471,0.88717,1.40207,0.77254,0.65926,0.7276,0.50161,0.95081,0.75201,1.38844,0.002476,0.002476,0.002476
78,4943.62,0.96096,0.88928,1.40338,0.77848,0.65808,0.72794,0.50213,0.95055,0.75122,1.3884,0.002377,0.002377,0.002377
79,5206.99,0.95035,0.88464,1.40001,0.77843,0.65914,0.72958,0.50313,0.94967,0.74898,1.38754,0.002278,0.002278,0.002278
80,5469.69,0.94526,0.86961,1.39288,0.77916,0.66059,0.73093,0.50387,0.9485,0.74775,1.38649,0.002179,0.002179,0.002179
81,5734.01,0.94924,0.87229,1.39731,0.77786,0.66209,0.73151,0.50453,0.9474,0.74635,1.38535,0.00208,0.00208,0.00208
82,5997.07,0.94886,0.86689,1.3939,0.77675,0.66288,0.73219,0.50478,0.94688,0.74545,1.38462,0.001981,0.001981,0.001981
83,6260.07,0.94038,0.85653,1.38582,0.77641,0.66349,0.73238,0.50559,0.94572,0.74443,1.38295,0.001882,0.001882,0.001882
84,6524.56,0.94226,0.85419,1.3873,0.77826,0.66438,0.73335,0.50661,0.94477,0.743,1.38187,0.001783,0.001783,0.001783
85,6787.56,0.93435,0.85318,1.38216,0.77758,0.66625,0.73438,0.50731,0.94373,0.74195,1.38089,0.001684,0.001684,0.001684
86,7049.87,0.92634,0.8441,1.37943,0.78185,0.66384,0.7351,0.50805,0.94322,0.74151,1.38018,0.001585,0.001585,0.001585
87,7312.2,0.93909,0.84748,1.38433,0.78307,0.66592,0.73582,0.50879,0.94253,0.74074,1.37915,0.001486,0.001486,0.001486
88,7576.52,0.92722,0.84512,1.37759,0.78205,0.66793,0.73647,0.50921,0.94168,0.73975,1.37828,0.001387,0.001387,0.001387
89,7840.59,0.93198,0.84619,1.38283,0.78291,0.66783,0.73717,0.50985,0.9413,0.73878,1.3775,0.001288,0.001288,0.001288
90,8103.37,0.93084,0.83518,1.37746,0.78433,0.66787,0.73736,0.51042,0.94053,0.73794,1.37664,0.001189,0.001189,0.001189
91,8392.96,0.94099,0.75759,1.43145,0.78509,0.66871,0.73829,0.51104,0.93968,0.73685,1.37537,0.00109,0.00109,0.00109
92,8655.68,0.91437,0.73057,1.41383,0.78373,0.67075,0.73905,0.51186,0.93851,0.73553,1.37394,0.000991,0.000991,0.000991
93,8917.23,0.91563,0.72148,1.40383,0.78435,0.67113,0.73958,0.51269,0.93741,0.73453,1.37273,0.000892,0.000892,0.000892
94,9178.83,0.90436,0.71154,1.39872,0.78183,0.6734,0.74069,0.51379,0.93628,0.73332,1.37137,0.000793,0.000793,0.000793
95,9439.52,0.89613,0.70126,1.38669,0.78203,0.6743,0.74149,0.51475,0.93518,0.73157,1.37013,0.000694,0.000694,0.000694
96,9701.76,0.89102,0.6955,1.3865,0.78499,0.67344,0.74234,0.51546,0.93393,0.73023,1.36889,0.000595,0.000595,0.000595
97,9964.22,0.88614,0.69244,1.37683,0.78442,0.67508,0.74317,0.51629,0.93264,0.72917,1.36752,0.000496,0.000496,0.000496
98,10227,0.88413,0.6865,1.37972,0.7869,0.67615,0.74403,0.51703,0.93172,0.72813,1.36648,0.000397,0.000397,0.000397
99,10490.6,0.87825,0.68187,1.37469,0.78299,0.67944,0.7448,0.51763,0.93089,0.72699,1.36547,0.000298,0.000298,0.000298
100,10759.7,0.87602,0.67298,1.3691,0.78591,0.67951,0.74537,0.51831,0.93005,0.72581,1.36479,0.000199,0.000199,0.000199
