epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,14158.2,1.03894,0.88679,0.01356,0.81679,0.71158,0.78542,0.55586,0.97271,0.78723,0.01936,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14409.7,1.03801,0.89329,0.01335,0.82169,0.70989,0.78602,0.55652,0.9712,0.78794,0.01931,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14660.8,1.02032,0.8876,0.01326,0.8257,0.70801,0.78589,0.55676,0.97027,0.78969,0.01928,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14915.1,1.01577,0.87073,0.01341,0.83815,0.70387,0.78599,0.55708,0.96994,0.78941,0.01927,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15196.1,1.02015,0.71948,0.01582,0.82779,0.70888,0.78597,0.55765,0.96924,0.78759,0.01926,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15452,0.99655,0.69415,0.01511,0.82958,0.70814,0.78653,0.55807,0.96832,0.78855,0.01923,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15694.8,0.98692,0.68694,0.01508,0.82753,0.71049,0.78668,0.55861,0.96797,0.78541,0.01921,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15943.9,0.97434,0.67158,0.01475,0.82761,0.71163,0.78705,0.55901,0.96778,0.78496,0.01921,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,16186.9,0.96687,0.65568,0.01471,0.82529,0.71385,0.78763,0.55919,0.96696,0.78505,0.0192,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16428.8,0.95642,0.65268,0.01435,0.82645,0.71409,0.78812,0.55981,0.96602,0.78604,0.01917,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16674.9,0.95784,0.65056,0.01412,0.82559,0.71587,0.78874,0.56044,0.96575,0.78484,0.01917,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16921.7,0.95184,0.64009,0.01407,0.82834,0.71526,0.78924,0.56104,0.96596,0.78178,0.01919,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17187.6,0.94429,0.62824,0.01396,0.82418,0.71839,0.78962,0.5613,0.96624,0.77965,0.0192,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,17444.6,0.93554,0.62466,0.01377,0.82278,0.71988,0.79002,0.56169,0.96492,0.77889,0.01917,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
